Iteration,Loss,GradNorm,TimeMs
0,15.2782,40.5957,39.3543
1,4.36364,18.9452,162.875
2,0.977236,7.51735,295.055
3,0.678535,4.4594,413.883
4,0.526415,1.59237,536.315
5,0.491962,1.10535,654.683
6,0.453798,1.26496,779.73
7,0.384708,1.16244,911.996
8,0.369838,1.55776,1097.51
9,0.351511,0.7894,1217.63
10,0.338061,0.601722,1341.31
11,0.32416,0.775619,1465.63
12,0.309863,1.22181,1585.49
13,0.295859,0.612706,1704.97
14,0.289133,0.433489,1834.32
15,0.280323,0.563459,1957.11
16,0.272459,0.590574,2076.46
17,0.262952,0.530552,2195.72
18,0.257825,0.975537,2317.04
19,0.250671,0.430716,2436.5
20,0.246413,0.361741,2563.7
21,0.241146,0.379179,2682.92
22,0.234477,0.626832,2802.7
23,0.227489,0.473386,2931.48
24,0.223205,0.310146,3051.02
25,0.218507,0.353554,3170.44
26,0.215092,0.46521,3291.26
27,0.210328,0.32663,3410.65
28,0.205519,0.431468,3530.14
29,0.203099,0.306403,3649.56
30,0.201949,0.192383,3768.87
31,0.200058,0.212083,3888.15
32,0.197655,0.275364,4024.02
33,0.196076,0.655969,4150.38
34,0.192424,0.22307,4269.96
35,0.191328,0.159698,4389.25
36,0.189986,0.20261,4508.63
37,0.188111,0.273029,4628.14
38,0.186604,0.525149,4747.56
39,0.184003,0.188637,4866.84
40,0.183025,0.1556,4991.93
41,0.182004,0.170633,5118.2
42,0.180608,0.376645,5239.32
43,0.178592,0.21486,5358.8
44,0.176624,0.154976,5520.57
45,0.175483,0.260925,5649.28
46,0.17437,0.162803,5768.64
47,0.173325,0.147389,5901.04
48,0.171466,0.247894,6027.09
49,0.170589,0.317817,6154.67
50,0.169613,0.160794,6274.65
51,0.168516,0.146698,6394.31
52,0.16756,0.195932,6513.63
53,0.165749,0.226613,6633.35
54,0.16499,0.308093,6767.2
55,0.163949,0.12546,6886.7
56,0.163311,0.130569,7010.5
57,0.162529,0.160026,7147.02
58,0.161886,0.44858,7271.07
59,0.160254,0.170756,7390.44
60,0.159334,0.107379,7509.79
61,0.158604,0.129823,7629.53
