Iteration,Loss,GradNorm,TimeMs
0,0.717938,3.07946,105.497
3,0.582907,1.53571,222.308
6,0.523924,1.23353,339.952
9,0.484671,1.02898,469.18
12,0.456688,0.884323,586.055
15,0.435611,0.778274,703.256
18,0.41903,0.697804,838.406
21,0.405538,0.634792,955.124
24,0.394265,0.584072,1072.01
27,0.384649,0.542285,1189.19
30,0.376308,0.507188,1307.11
33,0.368974,0.477243,1423.95
36,0.362453,0.451363,1565.54
39,0.356599,0.428757,1682.62
42,0.351299,0.408835,1803.07
45,0.346467,0.391144,1919.96
48,0.342034,0.37533,2036.65
51,0.337942,0.361109,2153.8
54,0.334147,0.348253,2294.74
57,0.330611,0.336572,2411.66
60,0.327303,0.325912,2544.13
63,0.324197,0.316142,2665.64
66,0.32127,0.307152,2782.59
69,0.318504,0.298849,2899.3
72,0.315882,0.291153,3024.49
75,0.313391,0.283997,3141.6
78,0.311019,0.277323,3262.6
81,0.308756,0.27108,3380.47
84,0.306591,0.265225,3497.5
87,0.304518,0.259719,3614.71
90,0.302528,0.25453,3737.86
93,0.300616,0.249629,3854.81
96,0.298775,0.244991,4009.6
99,0.297002,0.240592,4133.06
102,0.29529,0.236413,4251.15
105,0.293637,0.232436,4368.8
108,0.292039,0.228645,4485.47
111,0.290491,0.225027,4617.36
114,0.288991,0.221568,4747.55
117,0.287537,0.218257,4864.35
120,0.286125,0.215084,4981.12
123,0.284754,0.212039,5097.95
126,0.283421,0.209114,5214.61
129,0.282124,0.2063,5331.51
132,0.280861,0.203592,5448.12
135,0.279631,0.200982,5564.66
138,0.278431,0.198465,5681.34
141,0.277262,0.196035,5802.24
144,0.276121,0.193687,5920.15
147,0.275006,0.191417,6036.97
150,0.273917,0.189219,6167.47
153,0.272853,0.187091,6284.55
156,0.271813,0.185028,6401.38
159,0.270795,0.183028,6519.36
162,0.269799,0.181086,6636.13
165,0.268824,0.179201,6752.94
168,0.267869,0.177369,6870.77
171,0.266933,0.175587,6989.89
174,0.266016,0.173854,7106.77
177,0.265116,0.172167,7223.54
180,0.264234,0.170524,7340.23
183,0.263369,0.168923,7456.71
186,0.262519,0.167362,7573.15
189,0.261685,0.16584,7701.65
192,0.260866,0.164354,7818.24
195,0.260062,0.162904,7943.16
198,0.259271,0.161487,8064.83
201,0.258495,0.160103,8181.48
204,0.257731,0.15875,8300.96
207,0.25698,0.157428,8417.56
210,0.256242,0.156133,8534.18
213,0.255516,0.154867,8650.96
216,0.254801,0.153627,8767.54
219,0.254098,0.152413,8884.25
222,0.253405,0.151224,9007.5
225,0.252724,0.150059,9129.97
228,0.252052,0.148917,9258.54
231,0.251391,0.147797,9376.46
234,0.25074,0.146699,9493.42
237,0.250098,0.145621,9610.1
240,0.249466,0.144564,9726.65
243,0.248843,0.143526,9888.59
246,0.248228,0.142507,10006.5
249,0.247623,0.141506,10130.3
252,0.247026,0.140523,10247
255,0.246436,0.139557,10365.5
258,0.245856,0.138607,10482.6
261,0.245282,0.137674,10599.5
264,0.244717,0.136757,10724.9
