Iteration,Loss,GradNorm,TimeMs
0,0.4198,0.831499,420.867
10,0.257503,0.293009,4662.91
20,0.225903,0.317522,8889.12
30,0.208908,0.27683,13198.9
40,0.198023,0.273131,17482.5
50,0.190481,0.366283,21832.8
60,0.1842,0.281494,26093
70,0.178877,0.166605,30373.2
80,0.175111,0.291193,34733.3
90,0.171589,0.292409,39022.7
100,0.169429,0.507461,43316.6
110,0.165335,0.155946,47651.9
120,0.162734,0.121652,51960
130,0.161502,0.404106,56237.1
140,0.158404,0.14205,60532
150,0.157057,0.337241,64806.6
160,0.15512,0.307487,69086.1
170,0.153086,0.189995,73370.9
180,0.151617,0.213779,77657.2
190,0.150188,0.21707,81931.5
200,0.14863,0.162091,86208.4
210,0.147625,0.276211,90525.7
220,0.146293,0.24061,94840.7
230,0.14503,0.244368,99118
240,0.143866,0.243104,103418
250,0.142609,0.175877,107698
260,0.141744,0.225618,111985
270,0.140522,0.180608,116250
280,0.139608,0.192843,120602
290,0.138448,0.0989032,124893
300,0.137818,0.232072,129162
310,0.137066,0.27018,133490
320,0.135921,0.175844,137791
330,0.135338,0.275429,142127
340,0.134383,0.216433,146406
350,0.133417,0.137582,150665
360,0.132695,0.155657,154940
370,0.132834,0.419367,159236
380,0.131416,0.227314,163567
390,0.130608,0.196235,167838
400,0.129895,0.187466,172152
410,0.129287,0.232147,176446
420,0.128512,0.171851,180786
430,0.127834,0.15819,185064
440,0.127295,0.188386,189373
450,0.126825,0.23728,193654
460,0.126079,0.199129,197919
470,0.125944,0.342281,202211
480,0.124836,0.166713,206506
490,0.124787,0.340162,210772
