Iteration,Loss,GradNorm,TimeMs
0,0.449167,0.944644,195.601
10,0.297632,0.312234,2391.85
20,0.243207,0.240831,4726.4
30,0.215504,0.176898,7091.05
40,0.198072,0.124158,9397.47
50,0.186227,0.133082,11766.6
60,0.178445,0.0891862,14087.4
70,0.171171,0.091586,16436.3
80,0.163455,0.108459,18765.7
90,0.157923,0.0673016,21108
100,0.153813,0.0603573,23401.7
110,0.149755,0.0744128,25688.8
120,0.146456,0.0531722,27970.9
130,0.143699,0.0676302,30272
140,0.140765,0.0677162,32618
150,0.13804,0.0582839,34938.5
160,0.135228,0.0612553,37242.4
170,0.13233,0.0599421,39507.8
180,0.130264,0.0503679,41794
190,0.12795,0.0577716,44087.2
200,0.125766,0.0541189,46383.9
210,0.123522,0.0566958,48710
220,0.121891,0.0494634,51011.7
230,0.120319,0.0468461,53279.9
240,0.118514,0.0534824,55581.9
250,0.116675,0.0558397,57882.4
260,0.114546,0.0735538,60171.2
270,0.112432,0.0554143,62527.7
280,0.110187,0.0538108,64805
290,0.10838,0.0491811,67191.4
300,0.10649,0.0491832,69590.7
310,0.104959,0.0433656,71893.6
320,0.103654,0.0611768,74178.9
330,0.102274,0.0441651,76679.2
340,0.100863,0.0533355,79108.9
350,0.0992895,0.0445397,81408.4
360,0.0981942,0.0498453,83705.2
370,0.0969081,0.0411961,86047.9
380,0.0951511,0.0450606,88371.8
390,0.0935855,0.0509462,90717.5
400,0.0919559,0.056125,92997.1
410,0.0900297,0.0519924,95328.3
420,0.0886309,0.0474721,97633.8
430,0.0875359,0.0484644,99916.1
440,0.0865315,0.0344982,102217
450,0.0859503,0.0357932,104542
460,0.0854677,0.0309868,106832
470,0.0849849,0.0334675,109130
480,0.0845073,0.0286573,111467
490,0.0839231,0.0377117,113777
