Iteration,Loss,GradNorm,TimeMs
0,3.41484,13.4509,33.5042
1,0.788785,2.54371,131.03
2,0.589974,1.19066,254.156
3,0.514894,0.556225,351.14
4,0.468793,0.460921,449.02
5,0.348001,0.803226,554.967
6,0.334645,0.860565,660.077
7,0.288679,0.327601,758.939
8,0.274786,0.186116,858.627
9,0.261124,0.217782,981.625
10,0.235012,0.273797,1080.69
11,0.209196,0.246895,1180.25
12,0.194452,0.23194,1279.56
13,0.183936,0.136222,1379.35
14,0.173259,0.122647,1479
15,0.161921,0.187435,1578.36
16,0.15175,0.145764,1685.98
17,0.143957,0.103097,1798.46
18,0.133904,0.117397,1899.27
19,0.12779,0.16661,2005.29
20,0.121996,0.0978045,2105.38
21,0.115247,0.0813695,2205.83
22,0.110069,0.084647,2305.52
23,0.103605,0.0861376,2405.64
24,0.0985572,0.0757567,2505.65
25,0.094321,0.0692026,2605.44
26,0.0910729,0.0839866,2714.95
27,0.0883592,0.057777,2816.31
28,0.0860414,0.0542282,2916.29
29,0.0822102,0.0607874,3016.56
30,0.0810766,0.133043,3116.84
31,0.0777847,0.0491606,3217.18
32,0.0763595,0.0373813,3332.12
33,0.0742472,0.0497207,3431.99
34,0.0717159,0.0649421,3532.5
35,0.0694446,0.0656947,3632.24
36,0.0674292,0.0364689,3736.73
37,0.0656597,0.0409982,3841.67
38,0.0641991,0.0537287,3941.74
39,0.0623097,0.0391991,4041.96
40,0.0608585,0.0335362,4142.58
41,0.0592474,0.0458441,4243.21
42,0.0579026,0.0411323,4343.04
43,0.0565678,0.0349022,4443.47
44,0.0549308,0.0476014,4543.38
45,0.0537123,0.0394991,4643.38
46,0.0525588,0.0341388,4743.45
47,0.0510256,0.0380619,4873.46
48,0.0502001,0.063974,4979.9
49,0.0492729,0.0336187,5079.84
50,0.0485907,0.0290374,5180.5
51,0.0477756,0.0347076,5280.5
52,0.0469668,0.0717311,5380.59
53,0.045896,0.0294823,5480.39
54,0.0453356,0.0261148,5580.11
55,0.0445912,0.0309765,5680.35
56,0.0433752,0.0328843,5780.97
57,0.0431566,0.0901788,5881.65
58,0.0414956,0.0265442,6014.52
59,0.0410457,0.0207811,6114.18
60,0.0402772,0.02506,6213.69
61,0.0395836,0.0526894,6314.7
62,0.0387062,0.0285284,6429.58
63,0.0379902,0.0229995,6529.11
64,0.0372684,0.0308535,6628.68
65,0.0367665,0.0483561,6728.4
66,0.0361466,0.0241156,6828.99
67,0.0355858,0.0223516,6928.99
68,0.0351614,0.0256832,7044.42
69,0.0342779,0.0404552,7144.66
70,0.0337347,0.0418081,7244.33
71,0.0331818,0.0210468,7344.59
72,0.0327691,0.0223779,7444.33
73,0.0323311,0.0365611,7544.03
74,0.0317415,0.0285419,7643.66
75,0.0311488,0.0228944,7743.37
76,0.030739,0.0309941,7845.93
77,0.0303374,0.0215684,7958.22
78,0.0297933,0.0210368,8064.67
79,0.029271,0.0262828,8171.35
80,0.0288166,0.038099,8271.04
81,0.0283157,0.0180454,8370.65
82,0.027983,0.0181613,8470.29
83,0.0275928,0.0228649,8569.77
84,0.0272953,0.0468973,8669.31
85,0.0267848,0.0190087,8768.96
86,0.0265133,0.0176491,8868.89
87,0.0261829,0.0208849,8968.49
88,0.025616,0.0238229,9068.06
89,0.0252914,0.0311053,9195.23
90,0.0248886,0.0158676,9295.21
91,0.0245933,0.0160782,9394.75
92,0.0242682,0.0212413,9509.76
93,0.023958,0.0364521,9609.47
94,0.0235362,0.0173625,9709.13
95,0.02323,0.0174654,9810.12
96,0.0229983,0.0276277,9910.23
97,0.0227039,0.0192137,10009.7
98,0.0223834,0.016786,10109.3
99,0.0220474,0.0320158,10217.7
100,0.0217581,0.0188653,10323.7
101,0.0215461,0.0156223,10423.4
102,0.0211995,0.0194867,10523.1
103,0.0209466,0.0257336,10622.9
104,0.0206856,0.0170129,10722.4
105,0.0203615,0.0154802,10822.4
106,0.0201376,0.0217604,10922
107,0.0198596,0.0178978,11032.8
108,0.0195719,0.0280327,11132.4
109,0.0193113,0.0157744,11231.9
110,0.0191457,0.0153194,11344.6
111,0.0187711,0.0182388,11444.2
112,0.0187419,0.0450127,11544
113,0.0183291,0.015288,11643.6
114,0.0181768,0.0112015,11743
115,0.0179468,0.0156987,11844.9
