Iteration,Loss,GradNorm,TimeMs
0,0.447513,0.465355,502.868
5,0.266443,0.19431,2616.59
10,0.221591,0.125866,4686.32
15,0.197118,0.118964,6756.57
20,0.179929,0.0974166,8801.92
25,0.166714,0.0803298,10857.1
30,0.156126,0.0808077,12919.5
35,0.147344,0.0820576,14964.7
40,0.139908,0.0887179,17023.6
45,0.133124,0.0573425,19124.4
50,0.127464,0.0625631,21176.7
55,0.122435,0.0518851,23222.9
60,0.117932,0.054265,25280.4
65,0.113969,0.0533987,27352
70,0.110327,0.0473852,29409.1
75,0.10717,0.0655416,31463.4
80,0.104096,0.0394208,33513
85,0.101405,0.0458075,35562
90,0.098938,0.0419156,37618.4
95,0.0966322,0.0495853,39666.7
100,0.0944138,0.0384126,41752.2
105,0.0924091,0.0409352,43812.8
110,0.0905866,0.0509969,45863.7
115,0.0887603,0.0426341,47912.2
120,0.0870771,0.0409136,49972.9
125,0.0855588,0.0474338,52039.2
130,0.0840052,0.0312992,54086.9
135,0.082662,0.04433,56136
140,0.0812966,0.0425449,58190.4
145,0.0800297,0.0406614,60245.6
150,0.0788328,0.0442737,62296.3
155,0.0776231,0.0307914,64351.6
160,0.0765201,0.0341328,66409.5
165,0.0755052,0.0383044,68461.6
170,0.0744582,0.0283566,70523.2
175,0.0734903,0.0290901,72583.6
180,0.0725702,0.027604,74693.1
185,0.0716877,0.0297991,76762.6
190,0.0708187,0.0267506,78816.4
195,0.0700149,0.0307557,80880.6
200,0.0692358,0.0357799,82976.1
205,0.068429,0.0316024,85041.1
210,0.0676869,0.0240799,87142.3
215,0.0669421,0.0246248,89237.4
220,0.0662832,0.0363561,91312.5
225,0.0655556,0.0262996,93403.7
230,0.0649093,0.0267595,95451.1
235,0.064375,0.0424663,97535.1
240,0.0636748,0.0301972,99590.6
245,0.0630714,0.0290265,101670
250,0.0624897,0.0280042,103727
255,0.0619127,0.0257244,105774
260,0.0613235,0.021468,107840
265,0.0607946,0.0251118,109888
270,0.0602995,0.0333159,111945
275,0.0597512,0.0273467,113997
280,0.0592418,0.0272631,116050
285,0.0587553,0.0251219,118119
290,0.0582782,0.0306848,120191
295,0.0577926,0.0273102,122253
300,0.0573605,0.0371975,124304
305,0.0568967,0.0337896,126377
310,0.0564291,0.0299885,128450
315,0.0559657,0.0223849,130540
320,0.0555285,0.0227212,132589
325,0.0551036,0.0261059,134651
330,0.0546905,0.0223684,136737
335,0.0543377,0.0387799,138816
340,0.0539222,0.0296774,140877
345,0.0535361,0.0307688,143036
350,0.0531317,0.028287,145117
355,0.0527452,0.0255568,147189
360,0.0524253,0.0355799,149267
365,0.0519921,0.0231288,151410
370,0.0516337,0.0209036,153481
375,0.0512906,0.0238856,155558
380,0.0509724,0.0286406,157638
385,0.0506126,0.0260307,159740
390,0.0502596,0.0219125,161878
395,0.0499708,0.024161,163975
400,0.0496109,0.0203458,166067
405,0.0493469,0.0316446,168192
410,0.0490286,0.0368102,170281
415,0.0486835,0.0243453,172362
420,0.0483868,0.0241235,174456
425,0.0480615,0.0184173,176544
430,0.0478416,0.0384259,178660
435,0.0474912,0.0208722,180743
440,0.0472321,0.0326635,182868
445,0.0469429,0.0288977,184964
450,0.0466559,0.0265948,187061
455,0.0463458,0.0155148,189165
460,0.0460966,0.0208551,191262
465,0.04581,0.0198782,193343
470,0.0455605,0.0224253,195425
475,0.0452883,0.0223159,197500
480,0.0450339,0.0194357,199572
485,0.0448101,0.0305462,201663
490,0.0445366,0.0222545,203777
495,0.0442821,0.019683,205868
500,0.0440574,0.0275656,207987
505,0.0438187,0.0265333,210094
510,0.0435628,0.0191791,212197
515,0.0433314,0.0191441,214292
520,0.0431191,0.0233521,216396
525,0.0429248,0.0324232,218500
530,0.0426646,0.026145,220594
535,0.0424372,0.0229987,222692
540,0.0422132,0.01984,224786
545,0.0419958,0.0264603,226872
550,0.0418003,0.0279287,228972
555,0.0415527,0.0231347,231078
560,0.0413427,0.0216549,233207
565,0.0411525,0.0285994,235299
570,0.040923,0.0213248,237453
575,0.0407424,0.0252145,239571
580,0.0405326,0.0246535,241720
585,0.0403041,0.0186645,243778
590,0.0401131,0.018352,245893
595,0.0399337,0.0251899,247979
600,0.0397227,0.0241889,250026
605,0.0395215,0.0200142,252082
610,0.039349,0.0246456,254165
615,0.0391759,0.0291347,256222
620,0.0389769,0.0239262,258269
625,0.0387749,0.0213962,260323
630,0.0385849,0.0185008,262372
635,0.0384544,0.0290013,264494
640,0.0382294,0.0208783,266574
645,0.0380684,0.0257004,268646
650,0.0378839,0.0228184,270726
655,0.0377319,0.028466,272797
660,0.0375195,0.020295,274888
665,0.0373707,0.0283132,276993
670,0.0371677,0.0182498,279074
675,0.0370291,0.028267,281204
680,0.036924,0.0437358,283302
685,0.0366853,0.0209849,285384
690,0.0365136,0.0199487,287469
695,0.0363569,0.0193125,289545
700,0.0362257,0.0261788,291621
705,0.0360487,0.0226409,293694
710,0.0358784,0.0213702,295776
715,0.0357358,0.0237946,297855
720,0.0355927,0.0247325,299923
725,0.0354288,0.0196634,301992
730,0.0352776,0.0192178,304068
735,0.0351298,0.0237636,306158
740,0.0349946,0.0259202,308226
745,0.0348382,0.0258757,310298
750,0.0346963,0.0235891,312375
755,0.034561,0.0279162,314452
760,0.0344381,0.0298258,316538
765,0.0342525,0.0213847,318633
770,0.0341347,0.0276979,320701
775,0.0340122,0.029609,322791
780,0.0338647,0.0300602,324918
785,0.0337231,0.0264828,326988
790,0.033594,0.0303189,329066
795,0.0334339,0.0196853,331189
800,0.0333056,0.0242975,333259
805,0.0331596,0.0207072,335343
810,0.0330333,0.023042,337421
815,0.0328838,0.0146931,339491
820,0.0327836,0.0258266,341563
825,0.0326494,0.0216806,343636
830,0.0325276,0.0213927,345710
835,0.032405,0.0280411,347790
840,0.0322724,0.0245031,349897
845,0.0321377,0.0231616,351989
850,0.0320413,0.027589,354059
855,0.0319571,0.0422986,356145
860,0.0317757,0.0232648,358218
865,0.0316668,0.0254956,360329
870,0.0315275,0.0221966,362431
875,0.0314237,0.0258396,364559
880,0.0313261,0.0315311,366646
885,0.0311707,0.0231115,368758
890,0.0310651,0.0251094,370865
895,0.0309597,0.029336,372978
900,0.0308541,0.0288198,375078
905,0.0307186,0.0256963,377208
910,0.0305988,0.0214548,379333
915,0.0304845,0.0216887,381454
920,0.0303731,0.0228759,383593
925,0.0302692,0.0252992,385695
930,0.0301527,0.0234919,387795
935,0.030098,0.0344547,389891
940,0.0299478,0.0255557,391982
945,0.029843,0.0251592,394072
950,0.0297305,0.0235238,396149
955,0.0296013,0.0155897,398244
960,0.0295429,0.0326062,400336
965,0.0294078,0.0206979,402429
970,0.0293078,0.022373,404510
975,0.0292112,0.0260365,406602
980,0.0291115,0.0276777,408713
985,0.0290341,0.0317611,410789
990,0.0288982,0.0218143,412862
995,0.0288073,0.0256437,414938
