Iteration,Loss,GradNorm,TimeMs
0,0.535204,0.598648,212.831
1,0.446689,0.427738,378.276
2,0.414728,0.385358,549.049
3,0.358141,0.25774,726.732
4,0.323184,0.225688,1007.46
5,0.307362,0.231731,1245.62
6,0.281815,0.161125,1436.82
7,0.266078,0.15033,1625.61
8,0.252434,0.172323,1820.65
9,0.247687,0.192157,2036.86
10,0.226078,0.220909,2235.96
11,0.215724,0.149885,2451.62
12,0.206043,0.12341,2651.65
13,0.198625,0.111444,2851.13
14,0.192356,0.104214,3088.59
15,0.182267,0.0874659,3287.97
16,0.173176,0.0826977,3488.45
17,0.169132,0.0911736,3688.05
18,0.163227,0.0770866,3905.71
19,0.157563,0.0794355,4120.9
20,0.151998,0.0758122,4321
21,0.14607,0.0715048,4520.35
22,0.141912,0.0716829,4720.52
23,0.136509,0.0671123,4919.7
24,0.132366,0.06669,5158.54
25,0.128601,0.0614514,5369.98
26,0.125238,0.0600688,5569.8
27,0.121517,0.0561894,5770.9
28,0.118207,0.0534859,5970.87
29,0.113606,0.0500183,6190.04
30,0.109912,0.0463023,6390.45
31,0.107081,0.0445552,6589.67
32,0.106034,0.0445085,6790.11
33,0.104432,0.0439632,7006.8
34,0.102182,0.0395685,7207.31
35,0.0996485,0.0380527,7412.07
36,0.0976718,0.0359888,7611.79
37,0.095709,0.0358623,7811.48
38,0.0945019,0.0356787,8011.5
39,0.0929831,0.0365834,8210.72
40,0.0911064,0.0348646,8433
41,0.0901049,0.0352826,8632.41
42,0.0882722,0.0349478,8832.5
43,0.0872584,0.0347995,9032.79
44,0.0862887,0.0358552,9232.89
45,0.0853329,0.0330986,9460.25
46,0.0838945,0.0350875,9660.51
47,0.0828308,0.0310973,9871.56
48,0.0811698,0.0309539,10096.8
49,0.0804891,0.0302376,10296.3
50,0.0790072,0.0280086,10560.1
51,0.0780507,0.026237,10759.5
52,0.0768917,0.0263916,10959.9
53,0.0761878,0.0262639,11159.8
54,0.0756439,0.0278202,11359.8
55,0.0743194,0.0259564,11586
56,0.0735975,0.026477,11786
57,0.0726799,0.0268113,11997.2
58,0.0720024,0.0259213,12249.9
59,0.0711984,0.0266103,12449.4
60,0.0698569,0.0264024,12683.8
61,0.0691148,0.0281157,12883.5
62,0.0685142,0.0264176,13105
63,0.0675713,0.0258297,13305.4
64,0.0666679,0.0250412,13505.7
65,0.0660742,0.0237553,13722.3
66,0.0653623,0.0236952,13926.1
67,0.0644451,0.0228363,14137.4
68,0.0640484,0.0236216,14337.8
69,0.0634526,0.022886,14567.3
70,0.0628906,0.0229557,14820.7
71,0.0622478,0.0239867,15031.3
72,0.0612508,0.0228785,15231.6
73,0.0605113,0.0237643,15431.4
74,0.0599333,0.0221708,15652.4
75,0.059479,0.0219996,15870.1
76,0.0587379,0.0219762,16088.6
77,0.0579405,0.0214738,16288.4
78,0.0574337,0.0207999,16489.4
79,0.0568082,0.0208532,16688.6
80,0.056247,0.0202057,16904
81,0.0557437,0.020878,17103.8
82,0.0552952,0.0206153,17303.9
83,0.0545361,0.0207043,17515.1
84,0.0542338,0.022458,17716.1
85,0.0538908,0.0204053,17933.1
86,0.053285,0.0201886,18133.5
87,0.0526632,0.0184704,18333.2
88,0.0522176,0.0193046,18533.6
89,0.051776,0.0187679,18733.6
90,0.0514495,0.0199006,18945
91,0.0511751,0.0189525,19159
92,0.0508127,0.0192942,19359.6
93,0.0503973,0.0205914,19560
94,0.049909,0.019425,19760.5
95,0.0492739,0.0192864,19960.4
96,0.0487539,0.0200293,20168.6
97,0.0484911,0.020875,20368.7
98,0.0480001,0.0192163,20580.9
99,0.0475033,0.019433,20780.5
100,0.0471233,0.0192257,21006.4
101,0.0468959,0.0193791,21216.1
102,0.0465477,0.0212942,21417.1
103,0.0461105,0.0192171,21616.9
104,0.0456551,0.020129,21817.4
105,0.045324,0.0188796,22017.5
106,0.0449063,0.019764,22266.4
107,0.0445928,0.0187983,22466.3
108,0.0441207,0.018781,22672.2
109,0.0437327,0.0183194,22872.4
110,0.0433009,0.0184526,23074.3
111,0.0430908,0.0186741,23304.1
112,0.0427861,0.0170742,23504.8
113,0.0424829,0.0182225,23721.8
114,0.0421466,0.018403,23922.4
115,0.0417044,0.0167134,24122.3
