Iteration,Loss,GradNorm,TimeMs
0,0.930165,3.18461,91.6364
1,0.838476,2.58616,123.184
2,0.777391,2.14772,154.937
3,0.734925,1.81462,186.501
4,0.704348,1.56169,218.068
5,0.6815,1.3695,249.658
6,0.663792,1.22077,281.414
7,0.649614,1.10613,313.215
8,0.637885,1.01835,344.939
9,0.627877,0.950247,376.513
10,0.61911,0.897268,408.487
11,0.611258,0.854869,440.064
12,0.604101,0.821263,471.713
13,0.597474,0.793706,503.305
14,0.591268,0.770958,534.832
15,0.5854,0.751768,570.717
16,0.579816,0.73437,605.29
17,0.574479,0.718948,636.975
18,0.56936,0.705686,668.503
19,0.564425,0.693022,700.454
20,0.559664,0.681411,734.575
21,0.555057,0.670887,796.265
22,0.55059,0.660514,827.778
23,0.54626,0.650869,859.561
24,0.542054,0.641337,891.062
25,0.53797,0.63236,922.717
26,0.533999,0.623918,954.517
27,0.530131,0.615752,986.049
28,0.526363,0.607817,1017.51
29,0.522693,0.60018,1048.98
30,0.519112,0.593069,1080.49
31,0.515617,0.585569,1112.27
32,0.512209,0.578513,1143.83
33,0.508881,0.571967,1175.4
34,0.505629,0.565582,1207.33
35,0.502449,0.559055,1238.91
36,0.499341,0.552942,1270.47
37,0.4963,0.54682,1302.05
38,0.493326,0.540877,1333.61
39,0.490416,0.535133,1365.19
40,0.487568,0.52951,1397.69
41,0.484779,0.523908,1429.79
42,0.482048,0.518685,1464.25
43,0.479372,0.513249,1495.8
44,0.47675,0.508235,1527.4
45,0.47418,0.503274,1558.96
46,0.471659,0.498366,1590.5
47,0.469187,0.493655,1628.45
48,0.466762,0.488909,1663.11
49,0.464384,0.483906,1701.22
50,0.462054,0.479401,1732.83
51,0.459766,0.474895,1764.35
52,0.457521,0.470557,1798.41
53,0.455317,0.466341,1830.36
54,0.453153,0.461894,1861.92
55,0.451028,0.457956,1893.48
56,0.44894,0.453943,1925.08
57,0.446888,0.449955,1956.65
58,0.444872,0.44611,1988.18
59,0.442891,0.442217,2019.92
60,0.440943,0.438626,2051.69
61,0.439027,0.434896,2083.23
62,0.437143,0.431514,2115
63,0.435289,0.427944,2146.56
64,0.433464,0.42483,2178.05
65,0.431667,0.421347,2209.56
66,0.429899,0.417967,2241.13
67,0.428158,0.414699,2272.93
68,0.426446,0.411394,2316.84
69,0.42476,0.408397,2348.32
70,0.423098,0.405346,2379.81
71,0.421461,0.402332,2411.56
72,0.419848,0.399348,2443.23
73,0.418259,0.396539,2474.68
74,0.416693,0.393328,2506.27
75,0.415152,0.390507,2537.82
76,0.413632,0.387714,2569.36
77,0.412134,0.384903,2600.88
78,0.410658,0.382097,2632.63
79,0.409203,0.379392,2664.17
80,0.407769,0.37677,2701.33
81,0.406355,0.374023,2732.84
82,0.404961,0.371338,2771.64
83,0.403587,0.368825,2803.21
84,0.402231,0.366276,2834.74
85,0.400894,0.363887,2866.28
86,0.399574,0.361536,2897.78
87,0.398271,0.359157,2929.36
88,0.396985,0.356913,2960.93
89,0.395715,0.354474,2992.45
90,0.394463,0.352182,3023.98
91,0.393227,0.349799,3055.44
92,0.392008,0.34764,3086.97
93,0.390803,0.345578,3118.56
94,0.389612,0.343508,3150.37
95,0.388436,0.341343,3181.9
96,0.387274,0.339282,3213.48
97,0.386126,0.337334,3245.04
98,0.384992,0.335211,3276.68
99,0.383872,0.333148,3308.23
100,0.382765,0.331332,3339.72
101,0.381671,0.329408,3371.29
102,0.380589,0.327397,3403.67
103,0.37952,0.325567,3435.21
104,0.378463,0.323793,3466.94
105,0.377418,0.321993,3498.52
106,0.376384,0.320181,3530.22
107,0.375362,0.318252,3561.84
108,0.374352,0.316484,3593.33
109,0.373353,0.314624,3624.85
110,0.372366,0.312777,3656.57
111,0.371391,0.310918,3688.3
112,0.370427,0.309257,3719.86
113,0.369473,0.307534,3751.39
114,0.36853,0.305778,3789.67
115,0.367598,0.304219,3831.82
116,0.366675,0.302693,3867.13
117,0.365761,0.301078,3898.62
118,0.364857,0.299623,3930.25
119,0.363961,0.298053,3961.75
120,0.363075,0.296706,3993.3
121,0.362197,0.295194,4024.89
122,0.361328,0.293591,4056.44
