Iteration,Loss,GradNorm,TimeMs
0,0.892864,6.63837,30.1761
1,0.569473,2.47608,45.4335
2,0.494843,1.17452,60.7205
3,0.457191,0.655227,76.05
4,0.432514,0.623709,91.4471
5,0.386777,0.464456,106.905
6,0.356522,0.82051,122.387
7,0.335665,0.505529,137.91
8,0.325318,0.364479,153.467
9,0.308396,0.310832,169.09
10,0.295725,0.322455,184.749
11,0.282893,0.503245,200.442
12,0.274873,0.54699,216.206
13,0.269092,0.28051,232.025
14,0.26434,0.242883,247.95
15,0.257437,0.322289,263.814
16,0.246957,0.349484,279.658
17,0.236144,0.380033,295.648
18,0.23394,0.538206,311.66
19,0.228043,0.184916,327.703
20,0.225895,0.152704,343.815
21,0.219882,0.215876,359.957
22,0.214846,0.22464,376.354
23,0.211347,0.375961,392.578
24,0.206906,0.156894,408.849
25,0.205086,0.149842,425.17
26,0.201506,0.175663,441.548
27,0.197529,0.197569,457.968
28,0.193312,0.16616,474.408
29,0.188908,0.157536,490.886
30,0.185985,0.248074,507.448
31,0.183277,0.129722,524.039
32,0.180939,0.119725,540.676
33,0.178255,0.131609,557.373
34,0.175792,0.237148,574.112
35,0.173265,0.11527,590.866
36,0.171197,0.108454,607.976
37,0.168957,0.127726,624.874
38,0.167219,0.235148,641.771
39,0.164963,0.102459,658.695
40,0.163397,0.091013,675.705
41,0.161491,0.112242,692.708
42,0.158543,0.135168,709.785
43,0.157049,0.323645,726.927
44,0.153949,0.100253,744.116
45,0.152871,0.0871767,761.347
46,0.151096,0.106639,778.599
47,0.149054,0.109077,795.908
48,0.147311,0.0819252,813.07
49,0.145571,0.0861136,830.463
50,0.143322,0.0874621,847.882
51,0.14138,0.121023,865.329
52,0.139744,0.0794583,882.882
53,0.138031,0.0861168,900.352
54,0.13683,0.0684245,917.952
55,0.135519,0.0685271,935.632
56,0.133106,0.0958495,953.262
57,0.131303,0.0881055,971.031
58,0.130108,0.0649492,988.859
59,0.128606,0.0714091,1006.71
60,0.127504,0.0887326,1024.62
61,0.12644,0.0681887,1042.58
62,0.124774,0.0553265,1060.52
63,0.123263,0.0668261,1078.53
64,0.121616,0.10425,1096.64
65,0.120551,0.0609149,1114.84
66,0.119633,0.055061,1133.03
67,0.118126,0.0608393,1151.25
68,0.116753,0.0588561,1169.5
69,0.115603,0.0714843,1187.81
70,0.114635,0.0491205,1206.18
71,0.113685,0.047361,1224.55
72,0.112133,0.0880517,1242.98
73,0.111008,0.0454138,1261.45
74,0.110187,0.0409141,1279.92
75,0.109198,0.0419413,1298.48
76,0.10784,0.0917157,1317.12
77,0.106857,0.0485717,1335.79
78,0.10603,0.041923,1354.5
79,0.105004,0.0482815,1373.21
80,0.103694,0.0501732,1391.95
81,0.102754,0.0528063,1410.78
82,0.101926,0.0459961,1429.66
83,0.101198,0.0376385,1448.61
84,0.100513,0.0375109,1467.6
85,0.0993793,0.0371537,1486.62
86,0.0984077,0.046466,1505.64
87,0.0975777,0.0451091,1524.78
88,0.0969137,0.0378008,1543.96
89,0.0962778,0.0323024,1563.19
90,0.0954155,0.0501564,1582.42
91,0.0945903,0.0366543,1601.71
92,0.0939407,0.0329814,1621.35
93,0.0930355,0.0330725,1640.74
94,0.0920729,0.0701689,1660.16
95,0.0913697,0.0346372,1679.64
96,0.090842,0.0419381,1699.12
97,0.0903804,0.0337369,1718.66
98,0.0898442,0.032014,1738.26
99,0.0893082,0.0362591,1757.91
100,0.0888448,0.0329611,1777.62
101,0.0883283,0.0338223,1797.32
102,0.087799,0.0320435,1816.8
103,0.0871526,0.0440729,1836.53
104,0.0865506,0.0297698,1856.2
105,0.0859706,0.0296551,1875.9
106,0.0853316,0.0481461,1895.57
107,0.0847753,0.031851,1915.24
108,0.0842736,0.0348927,1934.9
109,0.0837104,0.0376932,1954.61
110,0.0832627,0.0314758,1974.24
111,0.0827088,0.0291578,1993.95
112,0.0820231,0.0340295,2013.59
113,0.0813793,0.034902,2033.28
114,0.0809098,0.0278334,2052.98
115,0.0804132,0.0323807,2072.7
116,0.0798406,0.0408378,2092.4
117,0.0792401,0.0318551,2112.11
118,0.078774,0.0313238,2131.82
119,0.078398,0.033219,2151.52
120,0.0780312,0.0265184,2171.22
121,0.0775096,0.0378963,2190.93
122,0.0770829,0.0486579,2210.64
123,0.0766858,0.0345625,2230.35
124,0.0761896,0.0288723,2250.05
125,0.0757548,0.0346668,2269.73
126,0.0752366,0.029324,2289.45
127,0.0748704,0.0295805,2309.16
128,0.0744979,0.0300171,2328.85
129,0.0740855,0.027773,2348.52
130,0.0736944,0.027694,2368.25
131,0.0732536,0.0354612,2387.93
132,0.0728392,0.027188,2407.61
133,0.0725157,0.0246505,2427.29
134,0.0720635,0.0255642,2446.96
135,0.0716363,0.0323,2466.64
136,0.0712165,0.0243358,2486.33
137,0.0707597,0.0283372,2506.03
138,0.0703741,0.0331995,2525.73
139,0.0699359,0.0289808,2545.43
140,0.0694869,0.0299775,2565.14
141,0.0690243,0.0257087,2584.85
142,0.0685058,0.0302667,2604.68
143,0.0679456,0.0396828,2624.46
144,0.0675713,0.0316302,2644.12
145,0.0672841,0.0251969,2663.81
146,0.0669323,0.0250411,2683.51
147,0.0664138,0.03238,2703.21
148,0.0659251,0.0307382,2722.87
149,0.065594,0.0262422,2742.55
150,0.0652946,0.0254519,2762.25
151,0.0647973,0.0308265,2781.95
152,0.0643268,0.0314393,2801.66
153,0.0639753,0.0315163,2821.32
154,0.0636777,0.0249575,2841.01
155,0.0633617,0.0304688,2860.64
156,0.0629678,0.0251889,2880.34
157,0.0626671,0.0316092,2899.95
158,0.0623911,0.0264284,2919.57
159,0.0620984,0.0262984,2939.28
160,0.0616294,0.0379566,2958.93
161,0.0611767,0.0245838,2978.56
162,0.0609402,0.0225082,2998.23
163,0.060645,0.025592,3017.91
164,0.0602177,0.0275661,3037.57
165,0.0598243,0.0325202,3057.24
166,0.0595158,0.0231511,3076.95
167,0.0592265,0.0242385,3096.66
168,0.0588169,0.0251071,3116.36
169,0.0584468,0.0240316,3136.07
170,0.058017,0.0319168,3155.76
171,0.0576236,0.0265193,3175.42
172,0.0573424,0.0245385,3195.14
173,0.0570258,0.0308211,3214.84
174,0.0567391,0.0317038,3234.49
175,0.0564713,0.0243835,3254.13
176,0.0561972,0.0243858,3273.77
177,0.0558338,0.0265213,3293.5
178,0.055402,0.022861,3313.21
179,0.054864,0.031867,3332.82
180,0.0544345,0.0342866,3352.46
181,0.0541143,0.0217999,3372.16
182,0.0538597,0.0245924,3391.87
183,0.0535565,0.0258842,3411.56
184,0.0532601,0.029503,3431.25
185,0.052995,0.0249841,3450.94
186,0.0527242,0.0263179,3470.63
187,0.0524778,0.0315675,3490.32
188,0.0522101,0.0244772,3510.04
189,0.0519035,0.0249055,3529.73
190,0.0515872,0.0253359,3549.43
191,0.0512815,0.0234819,3569.12
192,0.0509853,0.0235378,3588.83
193,0.0506236,0.0272113,3608.9
194,0.0503228,0.0244598,3628.6
195,0.0500194,0.0220017,3648.27
196,0.0496721,0.0307222,3667.97
197,0.0493259,0.0241429,3687.64
198,0.0490309,0.0221922,3707.34
199,0.0487312,0.0285064,3727.02
200,0.0484598,0.0228966,3746.68
201,0.0481988,0.0221991,3766.37
202,0.0478944,0.0235556,3786.07
203,0.0475756,0.0277095,3805.75
204,0.0472822,0.0219352,3825.45
205,0.047008,0.0211216,3845.17
206,0.0466708,0.0235564,3864.84
207,0.0463346,0.0260596,3884.54
208,0.0460414,0.0287617,3904.24
209,0.0458091,0.0249658,3923.95
210,0.0456055,0.022024,3943.61
211,0.0453605,0.0209342,3963.31
212,0.0450109,0.0228718,3983
213,0.0445897,0.0343155,4002.67
214,0.0443272,0.0251478,4022.36
215,0.0441209,0.0219418,4042.05
216,0.0438055,0.0237942,4061.71
217,0.0434351,0.0316662,4081.41
218,0.0431608,0.0229627,4101.08
219,0.0429027,0.020774,4120.76
220,0.0425944,0.0321361,4140.43
221,0.0422726,0.0241574,4160.14
222,0.0420643,0.0253029,4179.8
223,0.0418973,0.0218668,4199.49
224,0.0417334,0.0207895,4219.12
225,0.0414022,0.0249882,4238.74
226,0.0410907,0.0388921,4258.44
227,0.0408426,0.0246854,4278.07
228,0.0406663,0.0237271,4297.74
229,0.0405124,0.0222018,4317.39
230,0.0402203,0.0223238,4337.06
231,0.0399121,0.0240525,4356.75
232,0.0395978,0.0284984,4376.43
233,0.0393742,0.0232357,4396.15
234,0.0391267,0.0221982,4415.86
235,0.0388383,0.0274735,4435.55
236,0.0385429,0.0245639,4455.23
237,0.0383199,0.0235345,4474.92
238,0.038136,0.0199502,4494.56
239,0.0379127,0.0267986,4514.21
240,0.0376003,0.0228221,4533.89
241,0.0373344,0.0203758,4553.5
242,0.0370938,0.024293,4573.18
243,0.0368445,0.0224315,4592.82
244,0.0366193,0.0221138,4612.77
245,0.0363905,0.0211922,4632.37
246,0.0361581,0.024943,4651.95
247,0.0358929,0.0265098,4671.6
248,0.0356722,0.0255062,4691.25
249,0.0354702,0.0192823,4710.96
250,0.035273,0.0200613,4730.61
251,0.0349499,0.0254995,4750.3
252,0.0346667,0.0214741,4770.03
