Iteration,Loss,GradNorm,TimeMs
0,0.892864,6.63837,30.8877
1,0.569473,2.47608,46.7642
2,0.494843,1.17452,62.0412
3,0.457191,0.655227,78.0356
4,0.432514,0.623709,93.4251
5,0.386777,0.464456,109.39
6,0.356522,0.82051,124.819
7,0.335665,0.505529,140.654
8,0.325318,0.364479,156.782
9,0.308396,0.310832,172.568
10,0.295725,0.322455,188.186
11,0.282753,0.500121,204.5
12,0.27481,0.549775,220.112
13,0.269016,0.281691,236.417
14,0.264347,0.242607,252.12
15,0.257485,0.322971,268.318
16,0.246947,0.35286,283.974
17,0.236316,0.380902,300.172
18,0.23465,0.586423,315.815
19,0.228353,0.196657,332.029
20,0.22638,0.155363,348.355
21,0.2215,0.225208,363.968
22,0.216589,0.25219,380.266
23,0.213183,0.291911,411.653
24,0.209622,0.167006,427.285
25,0.207047,0.172159,443.6
26,0.203417,0.183705,459.175
27,0.201744,0.416052,475.379
28,0.197764,0.162586,491.023
29,0.195567,0.151705,506.993
30,0.192552,0.183641,522.764
31,0.18804,0.190346,538.695
32,0.187026,0.413724,554.55
33,0.182046,0.149167,570.201
34,0.180717,0.104506,586.495
35,0.178485,0.125483,602.134
36,0.176275,0.244644,618.316
37,0.173992,0.157081,633.978
38,0.17225,0.112125,650.298
39,0.170308,0.129229,665.932
40,0.168696,0.229741,682.271
41,0.166809,0.124171,697.854
42,0.165216,0.100672,714.135
43,0.163484,0.124924,729.781
44,0.16213,0.274517,746.059
45,0.160229,0.104113,761.709
46,0.159156,0.0936277,778
47,0.157721,0.121304,793.615
48,0.155672,0.149857,809.929
49,0.153786,0.232884,825.558
50,0.152093,0.133857,841.743
51,0.151165,0.0945608,857.37
52,0.150031,0.0860699,873.499
53,0.148589,0.138289,889.25
54,0.146992,0.106757,905.201
55,0.145091,0.0903816,921.039
56,0.14366,0.138967,936.648
57,0.142544,0.143794,952.946
58,0.141668,0.0883585,968.578
59,0.140377,0.0926733,984.784
60,0.139289,0.0956809,1000.42
61,0.137122,0.103647,1016.05
62,0.136158,0.127088,1047.33
63,0.135048,0.0928128,1063.54
64,0.134075,0.0781452,1079.17
65,0.132875,0.102779,1095.47
66,0.131624,0.0882653,1111.8
67,0.130635,0.0779899,1128.12
68,0.128915,0.0953573,1143.76
69,0.128426,0.20017,1160.05
70,0.127251,0.0687132,1175.7
71,0.126706,0.0596144,1191.91
72,0.125732,0.0741531,1207.58
73,0.124449,0.0866891,1223.22
74,0.123871,0.0942488,1254.57
75,0.123001,0.0639797,1270.2
76,0.122054,0.067808,1286.49
77,0.12125,0.202269,1302.12
78,0.119963,0.0798447,1318.38
79,0.11931,0.0629312,1334.02
80,0.118673,0.0721085,1350.23
81,0.117502,0.0850836,1365.87
82,0.116948,0.0905343,1397.23
83,0.116358,0.0558476,1412.87
84,0.115658,0.050772,1429.16
85,0.114956,0.0617164,1444.79
86,0.114302,0.109941,1461.09
87,0.113323,0.0656167,1476.73
88,0.11271,0.0549174,1492.36
89,0.111595,0.063511,1508.57
90,0.111246,0.134039,1524.15
91,0.110398,0.0573671,1540.35
92,0.109854,0.052019,1555.99
93,0.109189,0.0550821,1571.96
94,0.107982,0.0573337,1587.8
95,0.107439,0.0911104,1618.48
96,0.106633,0.0515185,1634.79
97,0.106006,0.0437741,1650.43
98,0.104957,0.0627151,1666.62
99,0.104637,0.128633,1682.26
100,0.103697,0.0426566,1698.49
101,0.10333,0.0375757,1714.13
102,0.10271,0.0480078,1729.77
103,0.10238,0.0943529,1761.08
104,0.101731,0.0569168,1777.41
105,0.101103,0.0389942,1793.07
106,0.100584,0.0398998,1808.7
107,0.100364,0.142996,1824.88
108,0.0995276,0.0518112,1840.52
109,0.0991393,0.037414,1856.5
110,0.0986542,0.0479814,1872.15
111,0.0980007,0.057336,1887.79
112,0.0976802,0.079482,1919.07
113,0.0971063,0.0451019,1934.69
114,0.0966276,0.0362875,1950.9
115,0.0959885,0.0579895,1966.56
116,0.0955996,0.0854033,1997.82
117,0.095138,0.0530231,2013.44
118,0.0945888,0.0377068,2029.09
119,0.0941896,0.0413848,2045.35
120,0.0934574,0.0673378,2060.98
121,0.0931468,0.0976585,2077.27
122,0.0925265,0.0378218,2092.92
123,0.0922165,0.0349433,2109.18
124,0.0917661,0.0424127,2125.45
125,0.0911313,0.0819085,2141.08
126,0.090627,0.0514982,2157.31
127,0.0902648,0.0329241,2172.94
128,0.0898242,0.0446057,2188.59
129,0.0896403,0.0823882,2204.56
130,0.0892457,0.0338607,2220.4
131,0.0889749,0.0377537,2236.04
132,0.088719,0.035996,2251.68
133,0.0880643,0.0493038,2267.98
134,0.0877082,0.0560658,2298.62
135,0.0872447,0.0324327,2314.79
136,0.0868726,0.0318787,2330.42
137,0.0863456,0.0402102,2346.75
138,0.0861396,0.0939542,2362.39
139,0.0855577,0.0348534,2378.01
140,0.0853239,0.0295681,2394.27
141,0.084868,0.0454481,2409.9
