Iteration,Loss,GradNorm,TimeMs
0,1.28498,9.22041,0
5,0.164943,0.20152,507.324
10,0.143495,0.186931,1013.58
15,0.132053,0.173445,1521.76
20,0.124278,0.173247,2027.59
25,0.118442,0.157034,2532.55
30,0.11365,0.155747,3037.46
35,0.109607,0.151558,3542.37
40,0.106184,0.144943,4048.08
45,0.103924,0.126475,4552.74
50,0.101984,0.128125,5057.95
55,0.100186,0.127139,5562.6
60,0.0985192,0.124907,6067.43
65,0.09695,0.125702,6571.28
70,0.0954743,0.124499,7075.88
75,0.0940703,0.119152,7579.25
80,0.0927125,0.108897,8083.25
85,0.0917037,0.0952208,8586.59
90,0.0908335,0.0974075,9092.23
95,0.089991,0.0967976,9595.46
100,0.0891697,0.0972746,10099.6
105,0.0883715,0.0960522,10602.7
110,0.087589,0.0955683,11106.2
115,0.0868316,0.0938537,11609.3
120,0.0860913,0.0940478,12113.2
125,0.0855059,0.0828421,12616.5
130,0.0850116,0.0838285,13119.7
135,0.0845271,0.0853128,13623.4
140,0.0840468,0.0856581,14126.8
145,0.0835706,0.0813294,14630
150,0.0831046,0.0812525,15132.9
155,0.0826404,0.0795332,15636.2
160,0.0821924,0.0814148,16139.3
165,0.0818157,0.0694531,16641.3
170,0.0815047,0.0709945,17146.5
175,0.0811933,0.0712149,17648.9
180,0.0808895,0.0726344,18151.1
185,0.0805855,0.072771,18653.3
190,0.0802849,0.0731559,19155.5
195,0.0799877,0.0751216,19656.9
200,0.0796899,0.0735981,20159.1
205,0.0794454,0.0650349,20660.6
210,0.079238,0.0649401,21162.4
215,0.0790303,0.0633404,21662.2
220,0.0788255,0.0635346,22163.9
225,0.07862,0.0627787,22665.1
230,0.0784191,0.063642,23166.9
235,0.0782187,0.0643089,23668.8
240,0.0780139,0.0615302,24171.1
245,0.0778489,0.0525816,24673
250,0.07771,0.0532499,25175.1
255,0.0775705,0.0531103,25678.9
260,0.0774311,0.0525465,26182.4
265,0.0772928,0.0528354,26686.1
270,0.0771553,0.052737,27188.6
275,0.077019,0.052904,27690.6
280,0.0768827,0.0525088,28192.6
285,0.0767723,0.0446482,28693.8
290,0.0766779,0.0460128,29194.2
295,0.0765828,0.0457634,29695.8
300,0.0764879,0.0457505,30197.2
305,0.0763932,0.0455043,30698.9
310,0.0762994,0.0462587,31200
315,0.0762053,0.0464287,31701.1
320,0.0761115,0.0468929,32202.6
325,0.0760354,0.0374623,32704.5
330,0.0759695,0.037415,33205.7
335,0.0759036,0.0371439,33706.6
340,0.075838,0.0370575,34207.6
345,0.0757724,0.0369005,34709.8
350,0.0757071,0.0372439,35210.7
355,0.0756422,0.0376505,35711.5
360,0.0755774,0.0379409,36212.6
365,0.0755257,0.0301878,36713.3
370,0.0754801,0.0301806,37213.6
375,0.0754337,0.0280511,37715.3
380,0.0753883,0.0280159,38217
385,0.075343,0.0284972,38719.7
390,0.0752976,0.0284568,39221.1
395,0.0752523,0.0288072,39722.7
400,0.0752071,0.028731,40223.4
405,0.0751728,0.0254672,40723.9
410,0.0751411,0.025515,41224.4
415,0.0751094,0.0255422,41725.7
420,0.0750778,0.0257411,42226.8
425,0.0750463,0.0258308,42728.3
430,0.0750147,0.0257017,43228.9
435,0.0749831,0.0254175,43729.8
440,0.0749518,0.0260691,44231.6
445,0.0749293,0.0264428,44733.8
450,0.0749074,0.0269278,45234.2
455,0.0748852,0.0266666,45735
460,0.0748632,0.0266634,46235.6
465,0.0748412,0.0270353,46735.9
470,0.0748193,0.0270011,47236.3
475,0.0747973,0.0269008,47737.4
480,0.0747756,0.0276813,48239
485,0.07476,0.0281041,48740.4
490,0.0747446,0.0282481,49241.5
495,0.0747293,0.0284591,49742.6
500,0.0747138,0.0282707,50242.7
505,0.0746986,0.0283253,50745.9
510,0.0746832,0.0283595,51247.3
515,0.074668,0.0284045,51749.1
520,0.0746529,0.0291501,52249.6
525,0.0746411,0.026947,52752.5
530,0.0746303,0.0267413,53253.3
535,0.0746196,0.0268053,53754.4
540,0.0746089,0.0268329,54256.2
545,0.0745982,0.0268122,54755.2
550,0.0745875,0.0267376,55254
555,0.0745768,0.0267336,55754.2
560,0.0745661,0.0266898,56254
565,0.0745572,0.0227195,56754.1
570,0.0745497,0.0226244,57254.3
575,0.0745422,0.0226614,57755.2
580,0.0745346,0.0226621,58255.7
585,0.0745271,0.0226279,58756.1
590,0.0745196,0.0224214,59256.6
595,0.0745121,0.0225142,59756.4
600,0.0745046,0.0223274,60256.6
605,0.0744982,0.017904,60758.1
610,0.0744929,0.0178788,61258.6
615,0.0744876,0.0178578,61761.6
620,0.0744824,0.017914,62261.7
625,0.0744772,0.0178929,62763.1
