Iteration,Loss,GradNorm,TimeMs
0,0.626329,2.72902,15.7374
1,0.582264,2.69624,30.8188
2,0.521818,1.60458,45.9235
3,0.507111,1.57553,61.0035
4,0.4843,1.22891,76.111
5,0.457583,0.81722,91.2199
6,0.444832,0.969633,106.357
7,0.42941,0.883406,121.439
8,0.412126,0.531677,136.564
9,0.405394,0.812266,151.677
10,0.394167,0.758165,166.806
11,0.380619,0.468829,181.93
12,0.374834,0.7513,197.044
13,0.365106,0.665523,212.163
14,0.354625,0.40282,227.271
15,0.349963,0.59336,242.391
16,0.34287,0.56603,257.52
17,0.333699,0.374389,272.627
18,0.327741,0.448418,287.753
19,0.322162,0.464192,302.896
20,0.315814,0.337443,318.428
21,0.311058,0.3669,333.552
22,0.306401,0.393917,348.676
23,0.30085,0.306203,363.782
24,0.296103,0.304877,378.918
25,0.291827,0.342373,394.015
26,0.287098,0.257592,409.127
27,0.283416,0.218338,424.233
28,0.280977,0.308527,439.372
29,0.277907,0.300661,454.476
30,0.274303,0.237031,469.58
31,0.271209,0.27102,484.692
32,0.267999,0.252082,499.776
33,0.264888,0.17579,514.895
34,0.262618,0.224834,530.008
35,0.26028,0.237185,545.172
36,0.257591,0.171219,560.329
37,0.25533,0.17743,575.491
38,0.25328,0.197312,590.656
39,0.251093,0.169582,605.804
40,0.249007,0.174887,620.96
41,0.246882,0.181086,636.096
42,0.244619,0.144422,651.265
43,0.242567,0.132627,666.416
44,0.240767,0.145797,681.597
45,0.239032,0.13157,696.731
46,0.237414,0.131778,711.897
47,0.235846,0.145096,727.055
48,0.234188,0.123006,742.183
49,0.232614,0.103633,757.344
50,0.231218,0.121446,772.518
51,0.229825,0.117611,787.697
52,0.228434,0.100313,802.882
53,0.227138,0.104277,818.059
54,0.225888,0.100618,833.229
55,0.224682,0.0915445,848.391
56,0.223548,0.100442,863.545
57,0.222409,0.0989736,878.734
58,0.221263,0.0865834,893.905
59,0.220171,0.0893902,909.069
60,0.219103,0.091029,924.235
61,0.218036,0.0820201,939.398
62,0.217011,0.0808976,954.565
63,0.216021,0.0812942,969.733
64,0.215053,0.0753678,984.899
65,0.214124,0.0760316,1000.04
66,0.213217,0.078065,1015.21
67,0.212316,0.0722936,1030.39
68,0.211441,0.0701206,1045.56
69,0.210595,0.0730753,1060.73
70,0.209756,0.0704983,1075.91
71,0.208931,0.0675785,1091.1
72,0.208126,0.0682623,1106.26
73,0.207335,0.0660096,1121.44
74,0.206561,0.0638349,1136.61
75,0.205808,0.0657813,1151.76
76,0.205061,0.065376,1166.92
77,0.204321,0.0622561,1182.11
78,0.203595,0.0617252,1197.28
79,0.202883,0.0617053,1212.45
80,0.202181,0.0604594,1227.59
81,0.201491,0.0607799,1242.74
82,0.200808,0.0605439,1257.93
83,0.200131,0.0583678,1273.09
84,0.199467,0.0579567,1288.27
85,0.198813,0.0587915,1303.45
86,0.198163,0.0580784,1319.01
87,0.197519,0.0569323,1334.18
88,0.196884,0.0566999,1349.34
89,0.196256,0.0561171,1364.51
90,0.195636,0.0556708,1379.68
91,0.195024,0.0557975,1394.84
92,0.194416,0.0552173,1410.02
93,0.193815,0.0542278,1425.19
94,0.193222,0.0540585,1440.34
95,0.192637,0.053957,1455.5
96,0.192058,0.0533947,1470.67
97,0.191485,0.0528458,1485.84
98,0.19092,0.0525934,1501
99,0.190361,0.0521312,1516.17
100,0.18981,0.0517719,1531.33
101,0.189266,0.0514542,1546.5
102,0.188727,0.0510303,1561.67
103,0.188196,0.050677,1576.86
104,0.187671,0.0504606,1592.03
105,0.187152,0.0501194,1607.2
106,0.186639,0.0496834,1622.36
107,0.186133,0.0494273,1637.52
108,0.185633,0.0491151,1652.68
109,0.185139,0.0486916,1667.84
110,0.184651,0.0484194,1683.02
111,0.184169,0.0481091,1698.15
112,0.183694,0.0477781,1713.33
113,0.183224,0.0474279,1728.5
114,0.18276,0.0472156,1743.68
115,0.182301,0.0469714,1758.85
116,0.181847,0.0466406,1774.01
117,0.1814,0.0464076,1789.18
118,0.180957,0.0461024,1804.34
119,0.180519,0.0457861,1819.49
120,0.180087,0.0455277,1834.67
121,0.179659,0.0452643,1849.83
122,0.179237,0.0449963,1864.99
123,0.17882,0.0446937,1880.15
124,0.178407,0.0444566,1895.31
125,0.177999,0.0442394,1910.47
126,0.177596,0.0439954,1925.64
127,0.177197,0.0437433,1940.79
128,0.176803,0.043441,1955.95
129,0.176413,0.0431968,1971.11
130,0.176027,0.0429726,1986.27
131,0.175646,0.0427032,2001.43
132,0.17527,0.0425065,2016.6
133,0.174897,0.0422495,2031.78
134,0.174528,0.0420371,2046.96
135,0.174164,0.0417945,2062.12
136,0.173803,0.0415593,2077.28
137,0.173447,0.04134,2092.45
138,0.173094,0.0411381,2107.61
139,0.172745,0.0409544,2122.78
140,0.172399,0.0407642,2137.96
141,0.172056,0.0405341,2153.12
142,0.171718,0.0403176,2168.29
143,0.171382,0.0401486,2183.46
144,0.17105,0.0399808,2198.62
145,0.170721,0.0397919,2213.78
146,0.170394,0.039586,2228.95
147,0.170072,0.0394098,2244.11
