Iteration,Loss,GradNorm,TimeMs
0,0.809145,7.38738,14.3859
1,0.563773,1.43289,21.8339
2,0.545588,1.20044,29.3035
3,0.484078,1.63982,36.8144
4,0.434707,1.57723,44.2226
5,0.433458,3.19279,51.6892
6,0.382427,0.914698,59.1746
7,0.368286,0.717363,66.6791
8,0.343355,0.960401,73.8064
9,0.322954,0.759922,81.0359
10,0.315085,1.04456,95.0916
11,0.303153,0.521406,102.432
12,0.296086,0.502214,109.792
13,0.285845,0.690649,117.173
14,0.279437,0.918355,124.454
15,0.272345,0.438288,131.976
16,0.2667,0.408025,139.493
17,0.26204,0.481268,147.079
18,0.253253,0.477367,154.707
19,0.248286,0.5535,169.076
20,0.242881,0.301354,176.767
21,0.238922,0.323213,184.31
22,0.233798,0.363149,192.078
23,0.230901,0.833402,199.874
24,0.224787,0.275125,207.753
25,0.222595,0.210407,215.69
26,0.220064,0.257096,223.639
27,0.216298,0.296714,231.542
28,0.214909,0.738459,239.629
29,0.209139,0.196127,247.728
30,0.207546,0.190514,255.858
31,0.204925,0.215228,263.991
32,0.203261,0.642877,272.267
33,0.199148,0.198441,280.738
34,0.197587,0.133015,289.208
35,0.196308,0.154347,297.744
36,0.195852,0.498541,306.296
37,0.194036,0.193295,314.863
38,0.192683,0.127345,323.528
39,0.191044,0.20184,332.179
40,0.189619,0.164544,340.934
41,0.188019,0.34627,349.606
42,0.186129,0.152915,358.437
43,0.184963,0.149041,367.267
44,0.183459,0.15238,376.186
45,0.183398,0.435532,384.902
46,0.182006,0.142202,393.878
47,0.181362,0.0995656,402.933
48,0.18016,0.161878,411.924
49,0.17923,0.145995,421.02
50,0.178215,0.230275,430.088
51,0.177135,0.132424,439.326
52,0.176165,0.175123,448.607
53,0.174981,0.160313,457.882
54,0.173997,0.253299,467.31
55,0.17297,0.125897,476.915
56,0.172187,0.108905,486.475
57,0.171645,0.112845,496.174
58,0.17035,0.163904,505.79
59,0.169175,0.151082,515.578
60,0.168269,0.114545,525.177
61,0.167072,0.121848,535.02
62,0.166266,0.199475,544.924
63,0.165452,0.137216,554.905
64,0.164301,0.0883909,564.655
65,0.163773,0.083687,574.724
66,0.162758,0.137264,584.565
67,0.161845,0.156844,594.709
68,0.160989,0.132078,604.573
69,0.159615,0.0928484,614.777
70,0.158962,0.140081,624.834
71,0.158436,0.0957447,635.14
72,0.157671,0.0790796,645.219
73,0.157001,0.0848443,655.596
74,0.155705,0.135683,666.096
75,0.154841,0.140778,676.638
76,0.154295,0.0765735,687.055
77,0.15365,0.0986173,697.678
78,0.152941,0.104675,708.314
79,0.15134,0.121386,719.054
80,0.15042,0.172131,729.826
81,0.149904,0.0737396,740.614
82,0.149525,0.0810094,751.336
83,0.149148,0.0773863,762.259
84,0.148612,0.0619803,773.143
85,0.147938,0.0926639,784.076
86,0.147264,0.0867778,795.104
87,0.146654,0.085959,806.022
88,0.145929,0.0787031,817.424
89,0.145364,0.075775,828.572
90,0.144919,0.0677958,839.773
91,0.14447,0.0643974,850.902
92,0.143748,0.0713458,862.22
93,0.143032,0.102136,873.284
94,0.142556,0.0560797,884.287
95,0.142237,0.0550646,895.558
96,0.141525,0.0653897,906.695
97,0.140414,0.0750896,918.035
98,0.139741,0.0850428,929.497
99,0.139285,0.0623636,940.973
100,0.138949,0.0549938,952.334
101,0.138549,0.0599992,963.746
102,0.138049,0.0626621,975.167
103,0.13752,0.0674047,986.479
104,0.137022,0.0787977,998.016
105,0.136476,0.0630053,1009.5
106,0.135934,0.0777837,1020.99
107,0.13548,0.0607177,1032.4
108,0.135134,0.0594148,1043.82
109,0.134642,0.0569871,1055.32
110,0.134129,0.0928565,1066.76
111,0.133718,0.0519407,1078.44
112,0.133404,0.0504498,1090.08
113,0.132786,0.0726494,1101.79
114,0.132042,0.0580734,1113.37
115,0.131448,0.0907253,1124.85
116,0.130864,0.0598599,1136.54
117,0.130467,0.0728214,1148.21
118,0.130133,0.0476476,1159.9
119,0.129774,0.0566893,1171.48
120,0.129208,0.0720792,1183.15
121,0.128803,0.0642857,1194.69
122,0.128566,0.045363,1206.31
123,0.128307,0.0559157,1217.94
124,0.127853,0.0641272,1229.57
125,0.127269,0.091548,1241.24
126,0.12681,0.0555487,1252.8
127,0.12649,0.0522574,1264.36
128,0.126156,0.0562558,1275.75
129,0.125646,0.0526572,1287.06
130,0.125059,0.0784524,1298.53
131,0.124416,0.0573687,1309.85
132,0.124069,0.0570088,1321.38
133,0.123769,0.053149,1332.75
134,0.123408,0.0511256,1343.92
135,0.122922,0.0735118,1355.37
136,0.122549,0.0604908,1366.69
137,0.122305,0.0428754,1378.23
138,0.122044,0.0452433,1389.58
139,0.121541,0.0530653,1401.17
140,0.12106,0.078709,1412.44
141,0.120641,0.0454662,1423.78
142,0.120397,0.0412223,1435.31
143,0.120075,0.0479191,1446.85
144,0.119708,0.0766527,1458.37
145,0.119326,0.0486344,1469.87
146,0.119006,0.0439952,1481.59
147,0.118529,0.063492,1493.22
148,0.118061,0.0573767,1504.56
149,0.117686,0.0615958,1516.18
150,0.117354,0.0437434,1527.82
151,0.117144,0.0517722,1539.59
152,0.116922,0.0504154,1552.06
153,0.116616,0.0494753,1563.86
154,0.116216,0.0447886,1575.51
155,0.115913,0.0570409,1587
156,0.115629,0.0496892,1598.69
157,0.115375,0.0579389,1610.3
158,0.115114,0.0404068,1622.02
159,0.114899,0.0406425,1633.68
160,0.114642,0.055939,1645.17
161,0.114385,0.0461787,1656.85
162,0.114137,0.0423414,1668.44
163,0.113828,0.040008,1680.02
164,0.113515,0.046353,1691.46
165,0.113196,0.0530117,1702.85
