Iteration,Loss,GradNorm,TimeMs
0,0.809145,7.38738,14.1661
1,0.563773,1.43289,21.3731
2,0.545588,1.20044,28.579
3,0.484078,1.63982,35.8553
4,0.434707,1.57723,43.1113
5,0.433458,3.19279,50.474
6,0.382427,0.914698,57.8372
7,0.368286,0.717363,65.2794
8,0.343355,0.960401,72.7695
9,0.322954,0.759922,80.2978
10,0.315085,1.04456,94.9013
11,0.303153,0.521419,102.527
12,0.296034,0.487199,110.143
13,0.286298,0.780427,117.657
14,0.278641,0.685714,125.243
15,0.272886,0.423909,132.813
16,0.265793,0.444485,140.385
17,0.260778,0.444901,148.266
18,0.25505,0.741089,155.864
19,0.24931,0.398453,163.386
20,0.245883,0.375977,170.951
21,0.240192,0.395349,178.563
22,0.239155,1.03136,186.121
23,0.231989,0.35698,193.705
24,0.229147,0.236173,201.247
25,0.226114,0.300258,208.837
26,0.222552,0.357441,216.419
27,0.219775,0.566766,223.978
28,0.216299,0.227034,231.563
29,0.214453,0.257565,239.135
30,0.212031,0.282849,246.693
31,0.211074,0.743556,254.28
32,0.206889,0.264815,261.858
33,0.20461,0.207729,269.453
34,0.201871,0.268516,277.001
35,0.199543,0.266297,284.587
36,0.197726,0.266031,292.146
37,0.1964,0.184751,299.728
38,0.19474,0.245246,307.29
39,0.193011,0.246187,314.884
40,0.192481,0.371152,322.442
41,0.191126,0.135834,330.041
42,0.190439,0.147988,337.559
43,0.189044,0.223146,345.139
44,0.187655,0.260444,352.728
45,0.18654,0.221205,360.287
46,0.185606,0.133537,367.829
47,0.184543,0.213689,375.433
48,0.183383,0.261788,383.018
49,0.18224,0.315178,390.609
50,0.181134,0.123316,398.202
51,0.180678,0.113696,405.778
52,0.179999,0.179209,413.367
53,0.179065,0.219431,420.947
54,0.178189,0.291876,428.543
55,0.177284,0.123612,436.108
56,0.176717,0.143505,443.659
57,0.176053,0.188358,451.243
58,0.174995,0.151956,458.79
59,0.174548,0.340625,466.376
60,0.173481,0.116166,473.959
61,0.17301,0.100915,481.546
62,0.172532,0.120277,489.12
63,0.172149,0.219113,503.667
64,0.171522,0.154014,511.241
65,0.17032,0.109416,518.825
