Iteration,Loss,GradNorm,TimeMs
0,0.230473,0.451818,62.286
5,0.174874,0.390791,345.932
10,0.16048,0.358827,638.561
15,0.151979,0.340325,936.205
20,0.145842,0.325416,1229.83
25,0.141019,0.311551,1521.86
30,0.137062,0.299519,1817.97
35,0.133724,0.290016,2113.51
40,0.130848,0.243746,2407.03
45,0.129051,0.241581,2699.23
50,0.127412,0.240166,2993.75
55,0.125909,0.239334,3289.7
60,0.124524,0.238993,3581.74
65,0.123241,0.239053,3877.72
70,0.122045,0.239435,4172.92
75,0.120927,0.240066,4483.41
80,0.119833,0.213411,4775.1
85,0.119127,0.21398,5066.61
90,0.118448,0.214577,5361.14
95,0.117793,0.215189,5654.47
100,0.11716,0.215807,5946.36
105,0.116548,0.216422,6238.99
110,0.115954,0.217028,6534.56
115,0.115378,0.217618,6829.24
120,0.114761,0.188901,7123.82
125,0.114377,0.189272,7416.68
130,0.114,0.189607,7707.95
135,0.11363,0.189929,8001.73
140,0.113267,0.190241,8297.24
145,0.11291,0.190544,8602.68
150,0.11256,0.190837,8899.63
155,0.112215,0.19112,9192.58
160,0.111817,0.158895,9484.15
165,0.111583,0.159097,9778.56
170,0.111351,0.159269,10072.9
175,0.111122,0.159432,10368.1
180,0.110896,0.15959,10671.2
185,0.110672,0.159745,10963.5
190,0.110451,0.159896,11256.7
195,0.110232,0.160046,11552.1
200,0.109968,0.128279,11846.1
205,0.109817,0.128378,12138.9
210,0.109668,0.128461,12432.2
215,0.10952,0.128539,12735
220,0.109373,0.128613,13027.9
225,0.109227,0.128687,13319.6
230,0.109082,0.128759,13614.1
235,0.108939,0.128831,13911.5
240,0.108766,0.103182,14205.3
245,0.108667,0.103215,14499.4
250,0.108568,0.103246,14793.1
255,0.10847,0.103274,15085.6
260,0.108372,0.1033,15380
265,0.108275,0.103323,15674
270,0.108178,0.103348,15966.1
275,0.108082,0.10337,16259.6
280,0.107971,0.0857979,16554.8
285,0.107904,0.0858006,16849.7
290,0.107838,0.0858042,17142.9
295,0.107771,0.0858059,17440.6
300,0.107705,0.0858081,17733.7
305,0.107639,0.085808,18027.8
310,0.107574,0.0858097,18322.8
315,0.107508,0.0858086,18616
320,0.107435,0.0733795,18923.6
325,0.107389,0.0733677,19217.8
330,0.107344,0.0733622,19512.8
335,0.107299,0.073355,19805.9
340,0.107253,0.0733479,20097.5
345,0.107208,0.0733406,20392.2
350,0.107163,0.0733343,20687.2
355,0.107119,0.073326,20988
360,0.107068,0.062356,21281.2
365,0.107036,0.0623392,21575.2
370,0.107005,0.0623305,21869.1
375,0.106974,0.0623226,22159.9
380,0.106943,0.0623136,22451.7
385,0.106912,0.0623058,22746.7
390,0.106881,0.0622966,23044.7
395,0.10685,0.0622881,23341.8
400,0.106814,0.0515756,23645.9
405,0.106792,0.0515604,23943.9
410,0.106771,0.0515518,24238.1
415,0.106749,0.0515441,24529.7
420,0.106728,0.0515377,24824.7
425,0.106706,0.0515294,25122.3
430,0.106685,0.0515236,25415.5
435,0.106663,0.0515149,25707.5
440,0.106638,0.0417064,26001.5
445,0.106623,0.0416879,26296.7
450,0.106608,0.0416815,26589
455,0.106593,0.0416763,26881.2
460,0.106578,0.0416709,27175.7
465,0.106564,0.0416661,27478.4
470,0.106549,0.0416604,27770.7
475,0.106534,0.0416553,28064.4
480,0.106516,0.0332697,28359
485,0.106506,0.0332418,28655.8
490,0.106496,0.0332375,28948.5
495,0.106485,0.0332342,29241.1
500,0.106475,0.0332308,29536.4
505,0.106464,0.0332272,29829.8
510,0.106454,0.0332246,30122.1
515,0.106444,0.0332213,30415.7
520,0.106432,0.0261654,30710.9
525,0.106424,0.0260637,31003.5
530,0.106417,0.0260619,31294.8
535,0.10641,0.0260597,31599.9
540,0.106403,0.0260586,31902.9
545,0.106395,0.0260564,32197.6
550,0.106388,0.0260539,32495.7
555,0.106381,0.0260519,32788.5
560,0.106373,0.0203285,33081.4
