Iteration,Loss,GradNorm,TimeMs
0,0.909353,8.71222,7.78896
1,0.762718,6.26103,14.9074
2,0.706396,7.18788,22.0355
3,0.604739,5.08503,29.1737
4,0.626779,6.11446,36.309
5,0.456414,3.57663,43.4494
6,0.567944,5.36322,50.5815
7,0.414392,3.39782,57.7212
8,0.413644,3.54311,64.8584
9,0.442453,3.879,72.0046
10,0.361081,2.61814,79.1368
11,0.372677,3.03119,86.2816
12,0.366946,2.70705,93.4211
13,0.353835,2.69471,100.565
14,0.315333,2.07072,107.697
15,0.323058,2.14703,114.82
16,0.327537,2.49379,121.945
17,0.278481,1.30182,129.041
18,0.293031,1.96037,136.108
19,0.294032,1.90718,143.171
20,0.270041,1.49996,150.242
21,0.264491,1.35421,157.293
22,0.272259,1.70661,164.361
23,0.256889,1.2018,171.414
24,0.252665,1.34586,178.48
25,0.248706,1.08726,185.534
26,0.251667,1.36687,192.615
27,0.240472,0.959661,199.676
28,0.238296,1.01616,206.747
29,0.239203,1.04818,213.833
30,0.23519,0.982938,220.909
31,0.229283,0.784264,227.971
32,0.229746,0.819812,235.037
33,0.230578,0.945469,242.09
34,0.223474,0.631837,249.143
35,0.222784,0.635221,256.337
36,0.224756,0.857565,263.398
37,0.218545,0.493602,270.438
38,0.217712,0.595897,277.843
39,0.217908,0.6398,284.9
40,0.215349,0.557333,291.967
41,0.212991,0.44745,299.021
42,0.212913,0.541249,306.073
43,0.211482,0.469258,313.139
44,0.209929,0.45207,320.21
45,0.208583,0.37675,326.996
46,0.208451,0.433988,333.349
47,0.207319,0.421705,339.696
48,0.205512,0.246569,346.073
49,0.205835,0.408701,352.441
50,0.204701,0.331613,358.816
51,0.203448,0.26834,365.174
52,0.203115,0.30252,371.53
53,0.20257,0.312814,377.896
54,0.201449,0.237142,384.272
55,0.20086,0.241357,390.642
56,0.200465,0.26806,396.998
57,0.199612,0.22326,403.356
58,0.198903,0.193483,409.716
59,0.198516,0.227009,416.073
60,0.197871,0.197424,422.437
61,0.197219,0.182108,428.798
62,0.196697,0.165051,435.166
63,0.196302,0.192333,441.534
64,0.195663,0.153149,447.892
65,0.195148,0.134161,454.25
66,0.194813,0.170011,460.606
67,0.194254,0.136658,466.974
68,0.19374,0.117588,473.342
69,0.193381,0.133892,479.707
70,0.19295,0.137642,486.072
71,0.192421,0.0824826,492.439
72,0.192106,0.122641,498.795
73,0.191709,0.116161,505.139
74,0.191247,0.0841686,511.492
75,0.1909,0.0985689,517.852
76,0.190544,0.103785,524.223
77,0.190123,0.0804186,530.569
78,0.189762,0.078196,536.937
79,0.189439,0.0937389,543.297
80,0.189053,0.0734711,549.652
81,0.188702,0.0662024,556.005
