Iteration,Loss,GradNorm,TimeMs
0,0.731696,2.03864,7.77414
1,0.646692,1.39255,14.8996
2,0.713303,2.64106,22.0373
3,0.690378,2.6039,29.181
4,0.57373,1.66724,36.3125
5,0.488387,0.983026,43.4504
6,0.460593,1.05758,50.5971
7,0.449727,1.13846,57.7346
8,0.431923,0.999868,64.8622
9,0.410567,0.783544,72.0161
10,0.393972,0.662565,79.1603
11,0.382561,0.66333,86.306
12,0.371635,0.675116,93.4291
13,0.357947,0.626536,100.562
14,0.342418,0.51961,107.686
15,0.328236,0.390669,114.821
16,0.317957,0.292758,121.944
17,0.312026,0.273601,129.036
18,0.309013,0.31615,136.128
19,0.30672,0.362381,143.217
20,0.303333,0.381447,150.325
21,0.298143,0.367606,157.417
22,0.291555,0.327625,164.517
23,0.284562,0.275097,171.614
24,0.278131,0.225252,178.708
25,0.27283,0.191704,185.793
26,0.268739,0.181798,192.908
27,0.265589,0.190362,199.991
28,0.262942,0.204916,207.08
29,0.260366,0.216261,214.176
30,0.257563,0.219473,221.273
31,0.254426,0.213367,228.36
32,0.251033,0.19936,235.452
33,0.247574,0.180561,242.555
34,0.244267,0.161249,249.649
35,0.241278,0.146519,256.744
36,0.238672,0.139698,263.849
37,0.236414,0.14095,270.946
38,0.234379,0.14653,278.019
39,0.232427,0.151808,285.113
40,0.23044,0.153362,292.205
41,0.228366,0.149913,299.303
42,0.226222,0.142044,306.397
43,0.22407,0.131612,313.487
44,0.221986,0.121319,320.425
45,0.220025,0.113775,326.768
46,0.2182,0.109993,333.093
47,0.216494,0.109297,339.431
48,0.214868,0.109756,345.771
49,0.213282,0.109471,352.099
50,0.211713,0.107481,358.43
51,0.210155,0.103664,364.769
52,0.208622,0.0988551,371.11
53,0.207131,0.0942278,377.443
54,0.205696,0.090616,383.788
55,0.204321,0.0885314,390.125
56,0.203001,0.0877834,396.448
57,0.201722,0.0877014,402.779
58,0.200471,0.0874564,409.097
59,0.199238,0.0863966,415.428
60,0.198019,0.0845266,421.767
61,0.196818,0.0821971,428.101
62,0.195641,0.0798758,434.418
63,0.194494,0.0780112,440.755
64,0.193376,0.0768557,447.093
65,0.192286,0.0762667,453.414
66,0.191218,0.0758202,459.75
67,0.190168,0.0752514,466.081
68,0.189132,0.0743727,472.411
69,0.188109,0.0730587,478.732
70,0.187103,0.0716081,485.058
71,0.186114,0.070192,491.388
72,0.185146,0.0690433,497.729
73,0.184199,0.0682955,504.052
74,0.183271,0.0678611,510.375
75,0.182358,0.0675204,516.715
76,0.18146,0.0671391,523.055
77,0.180573,0.0665609,529.397
78,0.179698,0.0657966,535.728
79,0.178835,0.0648862,542.071
80,0.177985,0.063984,548.397
81,0.17715,0.063256,554.736
82,0.176329,0.0626607,561.064
83,0.175522,0.0622174,567.404
84,0.174727,0.061864,573.74
85,0.173944,0.0614762,580.074
86,0.173172,0.0610681,586.393
87,0.172409,0.0605134,592.728
88,0.171657,0.0599143,599.076
89,0.170916,0.05926,605.404
90,0.170186,0.058686,611.738
91,0.169467,0.0581895,618.072
92,0.168759,0.0577618,624.398
93,0.168062,0.0574095,630.738
94,0.167375,0.0570414,637.07
95,0.166697,0.0566599,643.39
96,0.166028,0.0562464,649.727
97,0.165368,0.0558256,656.081
98,0.164717,0.0553789,662.437
99,0.164075,0.0549551,668.761
100,0.163441,0.0545534,675.095
101,0.162817,0.0541714,681.447
102,0.162201,0.0538251,687.78
