Iteration,Loss,GradNorm,TimeMs
0,0.720052,2.44427,13.3985
1,0.603485,0.940674,20.3158
2,0.561098,0.727629,27.2549
3,0.486438,0.846817,34.2396
4,0.397478,0.603528,41.2815
5,0.340929,0.751726,48.3434
6,0.295539,0.349959,55.4725
7,0.280548,0.270179,62.6358
8,0.255523,0.227466,69.8743
9,0.236396,0.197742,77.1318
10,0.221125,0.208053,84.427
11,0.209854,0.1666,91.7325
12,0.197598,0.132552,99.1414
13,0.184422,0.182946,106.527
14,0.173053,0.161593,113.991
15,0.165511,0.111587,121.494
16,0.154447,0.110251,129.057
17,0.147838,0.163289,136.66
18,0.141794,0.0916312,144.335
19,0.137296,0.0833314,152.273
20,0.132471,0.10128,160.024
21,0.127413,0.127446,167.735
22,0.12319,0.0845478,175.553
23,0.119842,0.0718019,183.429
24,0.115775,0.0681938,191.346
25,0.112292,0.105375,199.281
26,0.108937,0.0539476,207.076
27,0.106617,0.0515416,215.112
28,0.103179,0.0601109,223.258
29,0.101331,0.125397,231.463
30,0.098079,0.0474454,239.779
31,0.0965374,0.039014,248.014
32,0.0948122,0.0466766,256.361
33,0.0922212,0.0519407,264.772
34,0.0912603,0.0983384,273.07
35,0.0886524,0.0353609,281.504
36,0.0876162,0.0298075,290.062
37,0.0860374,0.038119,298.614
38,0.0841345,0.0481348,306.968
39,0.0825918,0.0402018,315.58
40,0.081368,0.0314906,324.021
41,0.0798426,0.0341153,332.626
42,0.0785446,0.0470611,341.434
43,0.077172,0.0334824,350.254
44,0.0755789,0.0337694,359.061
45,0.0746974,0.0390745,367.77
46,0.0738172,0.0295407,376.77
47,0.0725237,0.0303459,385.73
48,0.0717094,0.0342278,394.77
49,0.0709905,0.0278594,403.84
50,0.069566,0.0320544,413.042
51,0.068883,0.0463879,422.335
52,0.0681119,0.026044,431.779
53,0.0672954,0.0203163,441.204
54,0.0666818,0.0224697,450.733
55,0.0653632,0.0338954,460.302
56,0.0648608,0.055549,469.865
57,0.063949,0.0186811,479.477
58,0.0635814,0.0176052,489.02
59,0.0629881,0.0209715,498.765
60,0.0621177,0.0336812,508.454
61,0.0613141,0.0217344,518.216
62,0.0608199,0.0172129,527.934
63,0.0602398,0.0196035,537.819
64,0.059709,0.0358542,547.573
65,0.0591231,0.0197724,557.537
66,0.0585938,0.0174011,567.272
67,0.0581688,0.0209319,577.308
68,0.0574967,0.0277311,587.076
69,0.0569414,0.0226603,597.269
70,0.0565515,0.016835,607.172
71,0.0560474,0.0176443,617.526
72,0.0555978,0.0201078,627.726
73,0.0550775,0.0216339,638.2
74,0.0546373,0.0193418,648.603
75,0.0542538,0.0166832,659.184
76,0.0538091,0.0161476,669.74
77,0.053281,0.021264,680.434
78,0.0527879,0.0210988,691.146
79,0.0524263,0.0140757,701.897
80,0.0520648,0.0153232,712.701
81,0.0516859,0.0154897,723.517
82,0.0511808,0.0165361,734.244
83,0.0507714,0.0176101,745.201
84,0.0503731,0.0148372,756.103
85,0.0499144,0.013397,766.902
86,0.0495084,0.0167912,777.971
87,0.0490799,0.0147848,788.752
88,0.0487313,0.01333,799.905
89,0.0483865,0.0143684,811.043
90,0.0480421,0.0159851,822.136
91,0.0477115,0.0134796,832.977
