Iteration,Loss,GradNorm,TimeMs
0,0.990427,4.22698,0
5,0.191573,0.0908103,165.96
10,0.151434,0.0648775,335.361
15,0.13136,0.0517658,517.965
20,0.119133,0.0438015,701.466
25,0.110652,0.038816,884.531
30,0.104283,0.0351871,1062.49
35,0.0992495,0.0323933,1244.76
40,0.0951195,0.030628,1424.36
45,0.0922762,0.0271347,1603.46
50,0.0897844,0.0261731,1784.53
55,0.0875682,0.0255867,1965.49
60,0.0855789,0.0252456,2143.97
65,0.0837805,0.0246688,2326.92
70,0.0821443,0.0240839,2510.05
75,0.0806436,0.0235833,2685.8
80,0.0792641,0.0233017,2868.01
85,0.0782255,0.0210416,3047.16
90,0.0772566,0.0207583,3228.6
95,0.0763426,0.0206408,3408.49
100,0.0754776,0.0204606,3589.07
105,0.0746549,0.0201121,3769.89
110,0.0738737,0.0199722,3948.98
115,0.0731288,0.0196766,4131
120,0.0724181,0.0195811,4308.97
125,0.071867,0.0175754,4492.08
130,0.0713425,0.017451,4669.8
135,0.070835,0.0172323,4851.65
140,0.0703443,0.0171362,5029.71
145,0.0698688,0.0170112,5210.64
150,0.0694069,0.016871,5390.52
155,0.0689585,0.0167143,5569.89
160,0.0685231,0.0165254,5752.94
165,0.0681802,0.0149302,5934.69
170,0.0678493,0.0148955,6110.38
175,0.0675252,0.0147693,6293.04
180,0.0672081,0.0146466,6471.06
185,0.0668976,0.0145907,6653.18
190,0.0665929,0.0145384,6832.71
195,0.066294,0.0144455,7013.56
200,0.0660006,0.0144016,7198.41
205,0.0657669,0.0130392,7379.46
210,0.0655397,0.0130152,7558.85
215,0.0653161,0.0129444,7743.67
220,0.0650961,0.0128886,7926.6
225,0.0648792,0.0128496,8102.44
230,0.064665,0.0128372,8286.21
235,0.0644538,0.0127776,8469.5
240,0.0642456,0.0126813,8657.39
245,0.0640787,0.0114874,8839.56
250,0.0639159,0.0114402,9025.07
255,0.063755,0.011413,9204.84
260,0.0635956,0.0114008,9386.08
265,0.0634376,0.0113416,9567.14
270,0.0632811,0.0113246,9750.51
275,0.0631262,0.011316,9932.97
280,0.062973,0.0112966,10111.4
285,0.0628498,0.0102308,10294.2
290,0.0627293,0.0102075,10473.9
295,0.0626098,0.0101816,10656
300,0.0624913,0.0101627,10834.4
305,0.0623739,0.0101533,11015
310,0.0622573,0.0101224,11198.1
315,0.0621415,0.0101178,11378.7
320,0.0620264,0.0100956,11557.5
325,0.0619337,0.00923117,11739.1
330,0.0618428,0.00921248,11917.4
335,0.0617525,0.00917727,12100.4
340,0.0616627,0.00917212,12277.7
345,0.0615734,0.00915905,12460.4
350,0.0614847,0.00913051,12638.8
355,0.0613965,0.00912189,12820.2
360,0.0613087,0.00908912,13003.6
365,0.0612379,0.00840413,13183.6
370,0.0611684,0.00839228,13362.5
375,0.0610992,0.00839003,13544.3
380,0.0610303,0.0083617,13723.2
385,0.0609618,0.00833816,13906.1
390,0.0608935,0.0083366,14089.5
395,0.0608256,0.00830719,14263.9
400,0.0607579,0.00829074,14445.3
405,0.0607034,0.00776242,14628.5
410,0.0606497,0.00775082,14807.6
415,0.0605963,0.00774095,14987.6
420,0.0605431,0.00773505,15168.6
425,0.0604901,0.00772877,15348.2
430,0.0604373,0.00770735,15530.3
435,0.0603847,0.00769558,15707.8
440,0.0603323,0.0076943,15890.7
445,0.06029,0.00731667,16068.3
450,0.0602483,0.00729685,16250.4
455,0.0602067,0.00729311,16434.1
460,0.0601653,0.0072771,16613.2
465,0.060124,0.00728051,16794
470,0.0600828,0.0072757,16974.8
475,0.0600417,0.00727113,17155.5
480,0.0600007,0.00726011,17338.5
485,0.0599676,0.00699652,17521.5
490,0.0599349,0.0069824,17698.5
495,0.0599023,0.00698188,17881.5
500,0.0598698,0.00697352,18059.6
505,0.0598373,0.00696578,18242.3
510,0.0598049,0.00695468,18421.9
515,0.0597726,0.00694669,18603.2
520,0.0597404,0.0069312,18784.1
525,0.0597145,0.00674644,18963.5
530,0.0596888,0.00673661,19145.2
535,0.0596632,0.00672654,19324.3
540,0.0596376,0.00672281,19507.7
545,0.0596121,0.00671512,19691.4
550,0.0595867,0.00671132,19863.9
555,0.0595612,0.00670508,20044.7
560,0.0595359,0.00670215,20223.3
565,0.0595155,0.00657855,20404.2
570,0.0594953,0.00656828,20587.6
575,0.0594751,0.00656654,20767.8
580,0.059455,0.00656461,20945.5
585,0.0594348,0.00655629,21127
590,0.0594147,0.0065543,21304.7
595,0.0593946,0.00655102,21487.6
600,0.0593745,0.00654516,21664.6
605,0.0593584,0.00646171,21846.4
610,0.0593424,0.006454,22024.9
615,0.0593264,0.006448,22205.4
620,0.0593104,0.00644514,22388.4
625,0.0592944,0.00644266,22569.3
630,0.0592785,0.00644093,22747.2
635,0.0592626,0.00643591,22929
640,0.0592466,0.00643243,23106.7
645,0.0592339,0.00637707,23289.5
650,0.0592212,0.00637392,23466.4
655,0.0592085,0.00636734,23648.5
660,0.0591958,0.00636705,23827
665,0.0591831,0.00636627,24007.8
670,0.0591704,0.00636621,24186.9
675,0.0591577,0.00635951,24365.7
680,0.0591451,0.00635707,24547.2
685,0.0591349,0.00632142,24726
690,0.0591248,0.00631839,24908.7
695,0.0591147,0.00631604,25092.2
700,0.0591046,0.006313,25267.3
705,0.0590945,0.00630925,25449.5
710,0.0590844,0.00630737,25632.7
715,0.0590743,0.00630519,25810.1
720,0.0590642,0.00630347,25989.4
725,0.0590561,0.00628181,26172.2
